size
"2",,"","","","","arm-none-eabi-gcc (GCC) 13.1.0"
"","-Os -std=gnu89 -marm -mcpu=arm966e-s -mno-thumb-interwork"
linux-2.4.23-pre3-testplatform,fs/seq_file,2008
linux-2.4.23-pre3-testplatform,fs/block_dev,3757
linux-2.4.23-pre3-testplatform,fs/dnotify,344
linux-2.4.23-pre3-testplatform,fs/pipe,2078
linux-2.4.23-pre3-testplatform,fs/xattr,924
linux-2.4.23-pre3-testplatform,fs/binfmt_elf,0
linux-2.4.23-pre3-testplatform,fs/attr,622
linux-2.4.23-pre3-testplatform,fs/filesystems,0
linux-2.4.23-pre3-testplatform,fs/locks,5854
linux-2.4.23-pre3-testplatform,fs/partitions/check,1695
linux-2.4.23-pre3-testplatform,fs/partitions/msdos,1420
linux-2.4.23-pre3-testplatform,fs/bad_inode,256
linux-2.4.23-pre3-testplatform,fs/iobuf,979
linux-2.4.23-pre3-testplatform,fs/nfsd/export,4861
linux-2.4.23-pre3-testplatform,fs/nfsd/nfsproc,3555
linux-2.4.23-pre3-testplatform,fs/nfsd/stats,44
linux-2.4.23-pre3-testplatform,fs/nfsd/nfsctl,16
linux-2.4.23-pre3-testplatform,fs/nfsd/nfsxdr,2280
linux-2.4.23-pre3-testplatform,fs/nfsd/nfsfh,4986
linux-2.4.23-pre3-testplatform,fs/nfsd/nfs3proc,3250
linux-2.4.23-pre3-testplatform,fs/nfsd/lockd,280
linux-2.4.23-pre3-testplatform,fs/nfsd/nfs3xdr,4968
linux-2.4.23-pre3-testplatform,fs/nfsd/nfssvc,869
linux-2.4.23-pre3-testplatform,fs/nfsd/auth,136
linux-2.4.23-pre3-testplatform,fs/nfsd/nfscache,1879
linux-2.4.23-pre3-testplatform,fs/nfsd/vfs,7456
linux-2.4.23-pre3-testplatform,fs/fifo,604
linux-2.4.23-pre3-testplatform,fs/exec,2427
linux-2.4.23-pre3-testplatform,fs/file_table,887
linux-2.4.23-pre3-testplatform,fs/buffer,10801
linux-2.4.23-pre3-testplatform,fs/open,3149
linux-2.4.23-pre3-testplatform,fs/devices,990
linux-2.4.23-pre3-testplatform,fs/select,588
linux-2.4.23-pre3-testplatform,fs/super,3422
linux-2.4.23-pre3-testplatform,fs/fcntl,1542
linux-2.4.23-pre3-testplatform,fs/dcache,4398
linux-2.4.23-pre3-testplatform,fs/char_dev,419
linux-2.4.23-pre3-testplatform,fs/read_write,2268
linux-2.4.23-pre3-testplatform,fs/namespace,2227
linux-2.4.23-pre3-testplatform,fs/ext3/balloc,5304
linux-2.4.23-pre3-testplatform,fs/ext3/symlink,112
linux-2.4.23-pre3-testplatform,fs/ext3/ialloc,3311
linux-2.4.23-pre3-testplatform,fs/ext3/super,13152
linux-2.4.23-pre3-testplatform,fs/ext3/bitmap,148
linux-2.4.23-pre3-testplatform,fs/ext3/ioctl,363
linux-2.4.23-pre3-testplatform,fs/ext3/fsync,12
linux-2.4.23-pre3-testplatform,fs/ext3/inode,10628
linux-2.4.23-pre3-testplatform,fs/ext3/namei,7187
linux-2.4.23-pre3-testplatform,fs/ext3/dir,1420
linux-2.4.23-pre3-testplatform,fs/ext3/file,376
linux-2.4.23-pre3-testplatform,fs/lockd/host,1652
linux-2.4.23-pre3-testplatform,fs/lockd/svcsubs,1263
linux-2.4.23-pre3-testplatform,fs/lockd/clntlock,863
linux-2.4.23-pre3-testplatform,fs/lockd/svc4proc,2940
linux-2.4.23-pre3-testplatform,fs/lockd/svclock,2311
linux-2.4.23-pre3-testplatform,fs/lockd/lockd_syms,0
linux-2.4.23-pre3-testplatform,fs/lockd/xdr4,3756
linux-2.4.23-pre3-testplatform,fs/lockd/xdr,3795
linux-2.4.23-pre3-testplatform,fs/lockd/clntproc,1909
linux-2.4.23-pre3-testplatform,fs/lockd/svcproc,3000
linux-2.4.23-pre3-testplatform,fs/lockd/svcshare,440
linux-2.4.23-pre3-testplatform,fs/lockd/mon,1078
linux-2.4.23-pre3-testplatform,fs/lockd/svc,843
linux-2.4.23-pre3-testplatform,fs/ioctl,472
linux-2.4.23-pre3-testplatform,fs/readdir,1693
linux-2.4.23-pre3-testplatform,fs/nfs/proc,1776
linux-2.4.23-pre3-testplatform,fs/nfs/unlink,812
linux-2.4.23-pre3-testplatform,fs/nfs/symlink,436
linux-2.4.23-pre3-testplatform,fs/nfs/nfs2xdr,3856
linux-2.4.23-pre3-testplatform,fs/nfs/read,2148
linux-2.4.23-pre3-testplatform,fs/nfs/flushd,564
linux-2.4.23-pre3-testplatform,fs/nfs/nfs3proc,3024
linux-2.4.23-pre3-testplatform,fs/nfs/pagelist,2247
linux-2.4.23-pre3-testplatform,fs/nfs/write,5634
linux-2.4.23-pre3-testplatform,fs/nfs/nfs3xdr,5524
linux-2.4.23-pre3-testplatform,fs/nfs/inode,6557
linux-2.4.23-pre3-testplatform,fs/nfs/dir,4592
linux-2.4.23-pre3-testplatform,fs/nfs/file,1056
linux-2.4.23-pre3-testplatform,fs/ramfs/inode,1039
linux-2.4.23-pre3-testplatform,fs/stat,688
linux-2.4.23-pre3-testplatform,fs/jbd/commit,4374
linux-2.4.23-pre3-testplatform,fs/jbd/checkpoint,3434
linux-2.4.23-pre3-testplatform,fs/jbd/journal,8099
linux-2.4.23-pre3-testplatform,fs/jbd/transaction,8789
linux-2.4.23-pre3-testplatform,fs/jbd/revoke,2335
linux-2.4.23-pre3-testplatform,fs/jbd/recovery,2174
linux-2.4.23-pre3-testplatform,fs/binfmt_script,480
linux-2.4.23-pre3-testplatform,fs/inode,4945
linux-2.4.23-pre3-testplatform,fs/namei,4760
linux-2.4.23-pre3-testplatform,fs/quota,2094
linux-2.4.23-pre3-testplatform,fs/file,693
linux-2.4.23-pre3-testplatform,drivers/net/net_init,795
linux-2.4.23-pre3-testplatform,drivers/net/auto_irq,72
linux-2.4.23-pre3-testplatform,drivers/net/setup,48
linux-2.4.23-pre3-testplatform,drivers/net/loopback,412
linux-2.4.23-pre3-testplatform,drivers/net/Space,3500
linux-2.4.23-pre3-testplatform,drivers/char/n_tty,5247
linux-2.4.23-pre3-testplatform,drivers/char/misc,1012
linux-2.4.23-pre3-testplatform,drivers/char/pty,1779
linux-2.4.23-pre3-testplatform,drivers/char/mem,2420
linux-2.4.23-pre3-testplatform,drivers/char/random,4896
linux-2.4.23-pre3-testplatform,drivers/char/raw,1432
linux-2.4.23-pre3-testplatform,drivers/char/tty_io,10128
linux-2.4.23-pre3-testplatform,drivers/char/tty_ioctl,1843
linux-2.4.23-pre3-testplatform,drivers/block/blkpg,1016
linux-2.4.23-pre3-testplatform,drivers/block/elevator,824
linux-2.4.23-pre3-testplatform,drivers/block/genhd,276
linux-2.4.23-pre3-testplatform,drivers/block/ll_rw_blk,5841
lwip-0.5.3.preproc,src/core/ipv4/ip_addr,4
lwip-0.5.3.preproc,src/core/ipv4/ip,1840
lwip-0.5.3.preproc,src/core/ipv4/icmp,940
lwip-0.5.3.preproc,src/core/tcp,3311
lwip-0.5.3.preproc,src/core/pbuf,1764
lwip-0.5.3.preproc,src/core/inet,520
lwip-0.5.3.preproc,src/core/stats,24
lwip-0.5.3.preproc,src/core/tcp_input,5704
lwip-0.5.3.preproc,src/core/tcp_output,3060
lwip-0.5.3.preproc,src/core/mem,1224
lwip-0.5.3.preproc,src/core/udp,1380
lwip-0.5.3.preproc,src/core/sys,472
lwip-0.5.3.preproc,src/core/memp,888
lwip-0.5.3.preproc,src/core/netif,632
lwip-0.5.3.preproc,src/api/err,0
lwip-0.5.3.preproc,src/api/api_msg,2056
lwip-0.5.3.preproc,src/api/api_lib,2512
lwip-0.5.3.preproc,src/api/tcpip,376
lwip-0.5.3.preproc,src/api/sockets,1352
lwip-0.5.3.preproc,src/netif/loopif,136
lwip-0.5.3.preproc,src/netif/arp,1540
lwip-0.5.3.preproc,src/netif/tcpdump,1775
lwip-0.5.3.preproc,proj/unixsim/simnode,382
lwip-0.5.3.preproc,proj/unixsim/apps/httpd,843
lwip-0.5.3.preproc,proj/unixsim/apps/shell,9745
lwip-0.5.3.preproc,proj/unixsim/apps/fs,39844
lwip-0.5.3.preproc,proj/unixsim/apps/tcpecho,160
lwip-0.5.3.preproc,proj/unixsim/apps/udpecho,168
lwip-0.5.3.preproc,proj/unixsim/simrouter,554
lwip-0.5.3.preproc,proj/unixsim/simhost,414
mpeg2dec-0.3.1,src/getopt,3248
mpeg2dec-0.3.1,src/extract_mpeg2,3600
mpeg2dec-0.3.1,src/gettimeofday,0
mpeg2dec-0.3.1,src/mpeg2dec,4994
mpeg2dec-0.3.1,libvo/video_out,150
mpeg2dec-0.3.1,libvo/yuv2rgb,4424
mpeg2dec-0.3.1,libvo/yuv2rgb_mlib,0
mpeg2dec-0.3.1,libvo/yuv2rgb_mmx,0
mpeg2dec-0.3.1,libvo/video_out_pgm,549
mpeg2dec-0.3.1,libvo/video_out_null,248
mpeg2dec-0.3.1,libvo/video_out_dx,0
mpeg2dec-0.3.1,libvo/video_out_x11,0
mpeg2dec-0.3.1,libvo/video_out_sdl,845
mpeg2dec-0.3.1,libmpeg2/cpu_accel,8
mpeg2dec-0.3.1,libmpeg2/cpu_state,4
mpeg2dec-0.3.1,libmpeg2/motion_comp_altivec,0
mpeg2dec-0.3.1,libmpeg2/idct,1636
mpeg2dec-0.3.1,libmpeg2/idct_alpha,0
mpeg2dec-0.3.1,libmpeg2/alloc,136
mpeg2dec-0.3.1,libmpeg2/idct_mlib,0
mpeg2dec-0.3.1,libmpeg2/idct_altivec,0
mpeg2dec-0.3.1,libmpeg2/decode,2216
mpeg2dec-0.3.1,libmpeg2/motion_comp_mlib,0
mpeg2dec-0.3.1,libmpeg2/motion_comp_alpha,0
mpeg2dec-0.3.1,libmpeg2/header,4316
mpeg2dec-0.3.1,libmpeg2/motion_comp,6384
mpeg2dec-0.3.1,libmpeg2/motion_comp_mmx,0
mpeg2dec-0.3.1,libmpeg2/slice,17540
mpeg2dec-0.3.1,libmpeg2/idct_mmx,0
mpgcut-1.1,mpgcut,10831
OpenTCP-1.0.4,tcp,5874
OpenTCP-1.0.4,dns/dns,1424
OpenTCP-1.0.4,timers,272
OpenTCP-1.0.4,ip,2028
OpenTCP-1.0.4,http/http_server,1548
OpenTCP-1.0.4,http/https_callbacks,684
OpenTCP-1.0.4,smtp/smtpc_callbacks,44
OpenTCP-1.0.4,smtp/smtp_client,2356
OpenTCP-1.0.4,tftp/tftps,928
OpenTCP-1.0.4,udp,1682
OpenTCP-1.0.4,pop3/pop3c_callbacks,36
OpenTCP-1.0.4,pop3/pop3_client,3931
OpenTCP-1.0.4,dhcp/dhcpc,2600
OpenTCP-1.0.4,arp,2413
OpenTCP-1.0.4,bootp/bootp,1424
OpenTCP-1.0.4,system,1196
OpenTCP-1.0.4,icmp,432
OpenTCP-1.0.4,ethernet,2208
OpenTCP-1.0.4,demo/udp_demo,296
OpenTCP-1.0.4,demo/main_demo,272
OpenTCP-1.0.4,demo/tcp_client_demo,416
OpenTCP-1.0.4,demo/tcp_server_demo,384
replaypc-0.4.0.preproc,headend,1666
replaypc-0.4.0.preproc,program,4490
replaypc-0.4.0.preproc,cg,2207
replaypc-0.4.0.preproc,bigfile,192
replaypc-0.4.0.preproc,ndx,513
replaypc-0.4.0.preproc,ReplayPC,4368
